39, 13, Never-married, Adm-clerical, Not-in-family, White, 0, 40, United-States, <=50K
56,13, Married-civ-spouse, Tech-support, Husband, White,0,40, United-States, >50K
19,9, Never-married, Craft-repair, Own-child, White,0,40, United-States, <=50K
54,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander,0,60, South, >50K
39,9, Divorced, Exec-managerial, Not-in-family, White,0,80, United-States, <=50K
49,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
23,12, Never-married, Protective-serv, Not-in-family, White,0,52, United-States, <=50K
20,10, Never-married, Sales, Own-child, Black,0,44, United-States, <=50K
45,13, Divorced, Exec-managerial, Own-child, White,1408,40, United-States, <=50K
30,10, Married-civ-spouse, Adm-clerical, Own-child, White,0,40, United-States, <=50K
22,10, Married-civ-spouse, Other-service, Husband, Black,0,15, United-States, <=50K
48,7, Never-married, Machine-op-inspct, Unmarried, White,0,40, Puerto-Rico, <=50K
21,10, Never-married, Machine-op-inspct, Own-child, White,0,40, United-States, <=50K
19,9, Married-AF-spouse, Adm-clerical, Wife, White,0,25, United-States, <=50K
31,10, Married-civ-spouse, Sales, Husband, White,0,38, ?, >50K
48,12, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, <=50K
31,5, Married-civ-spouse, Machine-op-inspct, Husband, White,0,43, United-States, <=50K
53,13, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, <=50K
24,13, Married-civ-spouse, Tech-support, Husband, White,0,50, United-States, <=50K
49,9, Separated, Adm-clerical, Unmarried, White,0,40, United-States, <=50K
25,9, Never-married, Handlers-cleaners, Not-in-family, White,0,35, United-States, <=50K
57,13, Married-civ-spouse, Prof-specialty, Husband, Black,0,40, United-States, >50K
53,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,38, United-States, <=50K
44,14, Divorced, Exec-managerial, Unmarried, White,0,40, United-States, <=50K
41,11, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
29,11, Never-married, Prof-specialty, Not-in-family, White,0,43, United-States, <=50K
25,10, Married-civ-spouse, Exec-managerial, Wife, Other,0,40, United-States, <=50K
18,9, Never-married, Other-service, Own-child, White,0,30, ?, <=50K
47,15, Married-civ-spouse, Prof-specialty, Wife, White,1902,60, Honduras, >50K
50,13, Divorced, Exec-managerial, Not-in-family, White,0,55, United-States, >50K
47,9, Divorced, Exec-managerial, Not-in-family, White,0,60, United-States, <=50K
43,10, Married-civ-spouse, Tech-support, Husband, White,0,40, United-States, >50K
46,3, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, Mexico, <=50K
35,11, Married-civ-spouse, Other-service, Husband, White,0,40, Puerto-Rico, <=50K
41,9, Married-civ-spouse, Adm-clerical, Husband, White,0,48, United-States, <=50K
30,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
30,13, Married-civ-spouse, Sales, Husband, White,0,40, United-States, <=50K
32,4, Married-spouse-absent, ?, Not-in-family, White,0,40, ?, <=50K
48,9, Married-civ-spouse, Transport-moving, Husband, White,0,40, United-States, <=50K
42,16, Married-civ-spouse, Prof-specialty, Husband, White,0,45, United-States, >50K
29,10, Divorced, Tech-support, Not-in-family, White,0,58, United-States, <=50K
36,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
28,10, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
53,9, Married-civ-spouse, Adm-clerical, Wife, White,0,40, United-States, >50K
49,10, Married-civ-spouse, Exec-managerial, Husband, White,0,50, United-States, >50K
25,10, Never-married, ?, Own-child, White,0,40, United-States, <=50K
19,10, Never-married, Prof-specialty, Own-child, White,0,32, United-States, <=50K
31,13, Separated, Sales, Own-child, Black,0,40, United-States, <=50K
29,13, Married-civ-spouse, Sales, Husband, White,0,70, United-States, >50K
23,10, Never-married, Machine-op-inspct, Not-in-family, White,0,40, United-States, <=50K
79,10, Married-civ-spouse, Prof-specialty, Other-relative, White,0,20, United-States, <=50K
27,9, Never-married, Other-service, Own-child, White,0,40, Mexico, <=50K
40,12, Married-civ-spouse, Adm-clerical, Husband, White,0,40, United-States, <=50K
67,6, Married-civ-spouse, ?, Husband, White,0,2, United-States, <=50K
18,7, Never-married, Other-service, Own-child, White,0,22, United-States, <=50K
31,4, Married-civ-spouse, Farming-fishing, Husband, White,0,40, United-States, <=50K
18,9, Never-married, Sales, Not-in-family, White,0,30, United-States, <=50K
52,13, Married-civ-spouse, Other-service, Husband, White,0,40, Cuba, <=50K
46,9, Married-civ-spouse, Other-service, Wife, White,0,40, United-States, <=50K
59,9, Married-civ-spouse, Sales, Husband, White,0,48, United-States, <=50K
44,9, Divorced, Craft-repair, Not-in-family, White,0,40, United-States, >50K
53,9, Divorced, Sales, Own-child, White,0,35, United-States, <=50K
49,9, Married-civ-spouse, Protective-serv, Husband, White,0,40, United-States, >50K
33,14, Married-civ-spouse, Prof-specialty, Husband, White,0,50, United-States, <=50K
30,5, Never-married, Sales, Not-in-family, White,0,40, United-States, <=50K
43,16, Never-married, Prof-specialty, Not-in-family, White,0,50, United-States, >50K
57,11, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, <=50K
37,10, Divorced, Craft-repair, Unmarried, White,0,40, United-States, <=50K
28,10, Divorced, Machine-op-inspct, Unmarried, Black,0,25, United-States, <=50K
30,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander,1573,35, ?, <=50K
34,13, Married-civ-spouse, Protective-serv, Husband, White,0,40, United-States, >50K
29,10, Never-married, Handlers-cleaners, Not-in-family, White,0,50, United-States, <=50K
48,16, Married-civ-spouse, Prof-specialty, Husband, White,1902,60, United-States, >50K
37,10, Married-civ-spouse, Sales, Husband, White,0,48, United-States, >50K
48,12, Divorced, Exec-managerial, Unmarried, White,0,40, England, <=50K
32,9, Never-married, Other-service, Own-child, Black,0,40, United-States, <=50K
76,14, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
44,13, Married-civ-spouse, Exec-managerial, Husband, White,0,60, United-States, >50K
47,14, Never-married, Prof-specialty, Not-in-family, White,0,50, United-States, <=50K
20,10, Never-married, Tech-support, Own-child, White,0,40, United-States, <=50K
29,9, Never-married, Craft-repair, Not-in-family, White,0,40, United-States, <=50K
32,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
17,6, Never-married, ?, Own-child, White,0,32, United-States, <=50K
30,7, Never-married, Handlers-cleaners, Own-child, White,0,40, United-States, <=50K
31,9, Never-married, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
42,9, Married-civ-spouse, Handlers-cleaners, Husband, White,0,40, United-States, <=50K
24,13, Never-married, Sales, Other-relative, White,0,40, United-States, <=50K
38,15, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, >50K
56,9, Married-civ-spouse, Other-service, Husband, White,1887,50, Canada, >50K
28,10, Married-civ-spouse, Sales, Wife, White,0,25, United-States, <=50K
36,9, Never-married, Machine-op-inspct, Own-child, White,0,40, United-States, <=50K
53,5, Married-civ-spouse, Handlers-cleaners, Husband, White,0,50, United-States, <=50K
56,10, Married-civ-spouse, Sales, Husband, White,0,50, United-States, <=50K
49,11, Married-civ-spouse, Craft-repair, Husband, Black,0,40, United-States, >50K
55,10, Married-civ-spouse, Sales, Husband, White,0,56, United-States, <=50K
22,9, Never-married, Craft-repair, Not-in-family, White,0,41, United-States, <=50K
21,10, Never-married, Other-service, Own-child, White,0,40, United-States, <=50K
40,13, Married-civ-spouse, Exec-managerial, Husband, White,0,60, United-States, <=50K
30,13, Never-married, Exec-managerial, Own-child, Black,0,40, Germany, <=50K
29,13, Married-civ-spouse, Prof-specialty, Husband, White,0,50, United-States, >50K
19,10, Never-married, Other-service, Own-child, Black,0,35, United-States, <=50K
47,13, Married-civ-spouse, Exec-managerial, Wife, White,0,40, United-States, >50K
20,10, Never-married, Adm-clerical, Own-child, White,1719,28, United-States, <=50K
31,12, Married-civ-spouse, Adm-clerical, Husband, White,0,40, United-States, >50K
35,9, Married-civ-spouse, ?, Husband, White,0,40, United-States, <=50K
39,10, Divorced, Craft-repair, Not-in-family, White,0,40, United-States, <=50K
28,12, Never-married, Sales, Not-in-family, White,0,60, United-States, <=50K
24,9, Never-married, Other-service, Not-in-family, White,1762,40, United-States, <=50K
38,9, Married-civ-spouse, Craft-repair, Husband, White,0,35, United-States, <=50K
37,13, Married-civ-spouse, Sales, Husband, White,0,50, United-States, <=50K
46,12, Divorced, Tech-support, Not-in-family, Black,0,36, United-States, <=50K
38,14, Married-civ-spouse, Prof-specialty, Husband, White,0,40, Iran, >50K
43,9, Married-civ-spouse, Craft-repair, Husband, White,0,60, United-States, <=50K
27,11, Married-civ-spouse, Adm-clerical, Wife, White,0,35, United-States, <=50K
20,10, Never-married, Sales, Own-child, White,0,20, United-States, <=50K
49,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander,0,40, United-States, >50K
61,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
27,10, Never-married, Sales, Own-child, White,0,40, United-States, <=50K
19,10, Never-married, Other-service, Own-child, White,0,30, Mexico, <=50K
45,11, Never-married, Prof-specialty, Not-in-family, White,1564,40, United-States, >50K
70,10, Never-married, Tech-support, Other-relative, White,0,40, United-States, <=50K
31,9, Never-married, Transport-moving, Unmarried, Black,0,30, United-States, <=50K
22,10, Married-civ-spouse, Other-service, Husband, White,0,24, United-States, <=50K
36,9, Widowed, Other-service, Unmarried, White,0,24, United-States, <=50K
64,7, Married-civ-spouse, Craft-repair, Husband, White,2179,40, United-States, <=50K
43,10, Divorced, ?, Not-in-family, White,0,40, United-States, <=50K
47,10, Divorced, Adm-clerical, Unmarried, White,0,38, Mexico, <=50K
34,9, Never-married, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
33,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander,0,40, Philippines, <=50K
21,9, Never-married, Craft-repair, Own-child, White,0,35, United-States, <=50K
52,9, Divorced, ?, Not-in-family, White,0,45, United-States, >50K
48,9, Married-civ-spouse, Craft-repair, Husband, White,0,46, United-States, <=50K
23,13, Never-married, Handlers-cleaners, Not-in-family, White,0,40, United-States, <=50K
71,10, Separated, Sales, Unmarried, Black,1816,2, United-States, <=50K
29,9, Divorced, Craft-repair, Not-in-family, White,0,60, United-States, <=50K
42,13, Separated, Other-service, Other-relative, Black,0,50, United-States, <=50K
68,2, Divorced, ?, Not-in-family, White,0,20, United-States, <=50K
25,9, Never-married, Other-service, Unmarried, White,0,40, United-States, <=50K
44,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander,0,40, United-States, <=50K
28,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander,0,40, England, <=50K
45,14, Married-civ-spouse, Sales, Husband, White,0,40, United-States, >50K
36,10, Divorced, Other-service, Unmarried, White,0,40, Mexico, <=50K
39,12, Never-married, Exec-managerial, Not-in-family, White,0,42, United-States, <=50K
46,14, Widowed, Protective-serv, Unmarried, White,0,40, United-States, <=50K
18,7, Never-married, Handlers-cleaners, Own-child, White,0,16, United-States, <=50K
66,11, Widowed, Prof-specialty, Not-in-family, White,0,20, United-States, <=50K
27,9, Never-married, Other-service, Not-in-family, White,1980,40, United-States, <=50K
28,9, Married-civ-spouse, Protective-serv, Husband, White,0,40, United-States, <=50K
51,10, Married-civ-spouse, Sales, Husband, White,1977,40, United-States, >50K
27,13, Never-married, Craft-repair, Not-in-family, White,0,50, United-States, <=50K
28,13, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, >50K
27,9, Married-spouse-absent, Sales, Unmarried, White,0,25, United-States, <=50K
21,9, Never-married, Craft-repair, Own-child, Black,0,40, United-States, <=50K
34,9, Never-married, Handlers-cleaners, Not-in-family, Black,0,40, United-States, <=50K
18,9, Never-married, Other-service, Own-child, White,0,12, United-States, <=50K
33,13, Married-civ-spouse, Prof-specialty, Husband, White,0,65, United-States, <=50K
44,10, Married-civ-spouse, Exec-managerial, Husband, Black,0,38, United-States, >50K
43,10, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
30,10, Never-married, Craft-repair, Not-in-family, Black,0,45, United-States, <=50K
40,4, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, Mexico, >50K
37,10, Married-civ-spouse, Adm-clerical, Husband, White,0,42, United-States, >50K
34,9, Married-civ-spouse, Adm-clerical, Husband, Black,0,40, United-States, <=50K
41,13, Divorced, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
53,13, Divorced, ?, Not-in-family, White,0,50, United-States, <=50K
31,14, Married-civ-spouse, Prof-specialty, Wife, White,0,50, United-States, <=50K
58,16, Married-civ-spouse, Prof-specialty, Husband, White,0,1, United-States, >50K
38,10, Divorced, Machine-op-inspct, Not-in-family, Black,0,28, United-States, <=50K
24,10, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
41,13, Married-civ-spouse, Craft-repair, Husband, Black,0,40, United-States, <=50K
47,10, Married-civ-spouse, Tech-support, Husband, White,0,45, United-States, <=50K
41,13, Married-civ-spouse, Tech-support, Husband, White,0,24, United-States, <=50K
23,3, Married-civ-spouse, Transport-moving, Other-relative, White,0,40, Mexico, <=50K
36,10, Divorced, Craft-repair, Not-in-family, White,0,40, United-States, <=50K
40,14, Never-married, Exec-managerial, Not-in-family, White,0,55, United-States, >50K
35,14, Married-civ-spouse, Prof-specialty, Other-relative, White,0,40, United-States, >50K
24,9, Never-married, Sales, Not-in-family, White,0,40, United-States, <=50K
26,14, Never-married, Prof-specialty, Not-in-family, White,1876,40, United-States, <=50K
19,9, Never-married, ?, Own-child, White,0,40, Italy, <=50K
51,13, Married-civ-spouse, Exec-managerial, Husband, White,0,50, United-States, >50K
42,10, Never-married, Prof-specialty, Not-in-family, White,1340,40, United-States, <=50K
37,9, Divorced, Adm-clerical, Unmarried, White,0,35, United-States, <=50K
18,7, Never-married, Sales, Own-child, White,0,40, United-States, <=50K
36,13, Married-civ-spouse, Other-service, Husband, Black,0,36, United-States, >50K
35,9, Divorced, Craft-repair, Not-in-family, White,0,60, United-States, <=50K
58,9, Married-civ-spouse, Sales, Wife, White,0,35, United-States, >50K
17,7, Never-married, Sales, Own-child, White,0,12, United-States, <=50K
44,9, Married-civ-spouse, Transport-moving, Husband, Black,0,40, United-States, <=50K
37,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
35,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo,0,40, United-States, <=50K
60,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander,0,40, United-States, <=50K
54,4, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, >50K
37,13, Never-married, Exec-managerial, Not-in-family, Black,0,60, United-States, >50K
50,12, Divorced, Sales, Not-in-family, White,0,40, United-States, <=50K
38,13, Married-civ-spouse, Sales, Husband, White,0,50, Poland, <=50K
45,13, Married-civ-spouse, Prof-specialty, Husband, White,0,55, United-States, <=50K
25,6, Never-married, Craft-repair, Not-in-family, White,0,40, United-States, <=50K
31,10, Married-civ-spouse, Handlers-cleaners, Husband, White,0,40, United-States, <=50K
64,2, Divorced, ?, Not-in-family, White,0,40, United-States, <=50K
90,9, Never-married, Other-service, Not-in-family, Black,2206,40, United-States, <=50K
54,9, Married-civ-spouse, Adm-clerical, Husband, Black,0,20, United-States, <=50K
53,1, Never-married, Machine-op-inspct, Not-in-family, White,0,35, United-States, <=50K
18,9, Never-married, Sales, Own-child, White,0,40, United-States, <=50K
60,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo,0,10, United-States, <=50K
66,9, Married-civ-spouse, Farming-fishing, Husband, White,0,50, United-States, <=50K
75,11, Widowed, Adm-clerical, Not-in-family, White,0,20, Columbia, <=50K
65,9, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
35,7, Separated, Transport-moving, Not-in-family, Black,0,40, United-States, <=50K
41,9, Divorced, Sales, Unmarried, Black,0,38, United-States, <=50K
25,10, Never-married, Adm-clerical, Not-in-family, White,0,42, United-States, <=50K
33,10, Divorced, Craft-repair, Other-relative, Other,0,40, United-States, <=50K
28,15, Never-married, Prof-specialty, Not-in-family, White,0,55, United-States, >50K
59,9, Married-civ-spouse, Other-service, Husband, White,0,40, United-States, <=50K
40,10, Never-married, Adm-clerical, Not-in-family, White,0,38, United-States, <=50K
41,13, Married-civ-spouse, Exec-managerial, Husband, White,0,50, Iran, >50K
38,14, Married-civ-spouse, Exec-managerial, Husband, White,0,70, United-States, >50K
23,9, Never-married, Transport-moving, Own-child, White,0,40, United-States, <=50K
40,13, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, >50K
41,9, Married-civ-spouse, Other-service, Wife, White,0,20, United-States, <=50K
24,12, Married-civ-spouse, Protective-serv, Husband, White,0,50, United-States, <=50K
20,10, Never-married, ?, Own-child, White,0,20, United-States, <=50K
38,10, Divorced, Craft-repair, Not-in-family, White,1741,40, United-States, <=50K
56,9, Married-civ-spouse, Adm-clerical, Husband, White,0,35, ?, <=50K
58,9, Married-civ-spouse, Adm-clerical, Husband, White,0,45, United-States, >50K
32,9, Never-married, Other-service, Not-in-family, White,0,34, United-States, <=50K
40,12, Married-civ-spouse, Tech-support, Husband, White,1977,60, United-States, >50K
45,9, Married-civ-spouse, Adm-clerical, Husband, White,0,40, ?, <=50K
41,15, Married-civ-spouse, Prof-specialty, Wife, White,0,40, United-States, >50K
42,13, Married-civ-spouse, Adm-clerical, Wife, Black,0,40, United-States, <=50K
59,6, Widowed, Other-service, Unmarried, Black,0,30, United-States, <=50K
19,10, Never-married, Adm-clerical, Own-child, White,0,40, United-States, <=50K
58,10, Never-married, Transport-moving, Not-in-family, White,0,20, United-States, <=50K
42,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander,0,40, Cambodia, >50K
20,9, Never-married, Other-service, Own-child, White,0,40, United-States, <=50K
32,9, Separated, Other-service, Not-in-family, White,0,30, United-States, <=50K
45,11, Widowed, Exec-managerial, Not-in-family, White,0,45, United-States, <=50K
50,4, Divorced, Craft-repair, Not-in-family, White,0,40, United-States, <=50K
36,13, Divorced, Prof-specialty, Own-child, White,0,40, United-States, <=50K
45,9, Married-civ-spouse, Sales, Husband, White,0,60, United-States, <=50K
17,7, Never-married, Other-service, Own-child, White,0,12, United-States, <=50K
59,10, Married-civ-spouse, Sales, Husband, White,0,40, United-States, <=50K
26,7, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
37,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander,0,75, Thailand, >50K
19,10, Never-married, ?, Own-child, White,0,24, Canada, <=50K
64,9, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
33,13, Never-married, Prof-specialty, Not-in-family, White,0,45, United-States, <=50K
33,9, Married-civ-spouse, Craft-repair, Wife, White,0,40, United-States, >50K
61,9, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
17,5, Never-married, Other-service, Own-child, White,0,24, United-States, <=50K
50,14, Married-civ-spouse, Farming-fishing, Husband, White,0,98, United-States, <=50K
27,14, Never-married, Prof-specialty, Own-child, White,0,35, United-States, <=50K
30,9, Divorced, Prof-specialty, Own-child, White,0,40, United-States, <=50K
43,9, Married-civ-spouse, Handlers-cleaners, Husband, Black,0,40, United-States, <=50K
44,10, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
35,10, Never-married, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
25,10, Never-married, Tech-support, Own-child, White,0,40, United-States, <=50K
24,10, Married-civ-spouse, Machine-op-inspct, Wife, White,0,48, United-States, >50K
22,13, Never-married, Prof-specialty, Not-in-family, White,0,15, Germany, <=50K
42,10, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
34,12, Divorced, Sales, Unmarried, Black,0,45, United-States, <=50K
60,13, Divorced, Prof-specialty, Not-in-family, White,0,42, United-States, <=50K
21,9, Never-married, Handlers-cleaners, Own-child, White,0,40, United-States, <=50K
57,14, Married-civ-spouse, Sales, Husband, White,0,40, United-States, >50K
41,15, Married-civ-spouse, Prof-specialty, Husband, White,0,60, United-States, >50K
50,10, Divorced, Other-service, Not-in-family, White,0,45, United-States, <=50K
25,13, Never-married, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
50,4, Married-civ-spouse, Craft-repair, Husband, White,0,40, Ecuador, <=50K
36,13, Married-civ-spouse, Prof-specialty, Husband, White,0,45, United-States, <=50K
31,9, Divorced, Prof-specialty, Not-in-family, White,0,40, United-States, <=50K
29,13, Never-married, Protective-serv, Not-in-family, White,0,56, United-States, <=50K
21,10, Never-married, Sales, Own-child, White,0,45, United-States, <=50K
27,13, Never-married, Tech-support, Unmarried, Black,0,40, United-States, <=50K
65,9, Married-civ-spouse, Transport-moving, Husband, White,0,16, United-States, <=50K
37,13, Divorced, Sales, Not-in-family, White,0,60, United-States, <=50K
39,14, Married-civ-spouse, ?, Wife, Asian-Pac-Islander,0,40, ?, <=50K
24,9, Never-married, Craft-repair, Own-child, White,0,40, United-States, <=50K
38,9, Divorced, Sales, Not-in-family, White,0,80, United-States, <=50K
48,13, Married-civ-spouse, Adm-clerical, Husband, White,0,40, United-States, >50K
21,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander,0,25, United-States, <=50K
31,9, Married-civ-spouse, Transport-moving, Husband, White,0,45, United-States, >50K
55,9, Married-civ-spouse, Sales, Husband, White,0,40, United-States, >50K
24,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander,0,40, Laos, <=50K
43,9, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
26,12, Never-married, Tech-support, Not-in-family, White,0,45, United-States, <=50K
46,12, Never-married, Prof-specialty, Not-in-family, White,0,33, United-States, <=50K
35,12, Married-civ-spouse, Adm-clerical, Husband, White,0,40, United-States, >50K
41,10, Married-civ-spouse, Farming-fishing, Husband, White,0,54, United-States, >50K
26,13, Never-married, Sales, Not-in-family, White,0,40, United-States, <=50K
34,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander,0,35, Taiwan, >50K
19,10, Never-married, ?, Own-child, Black,0,25, United-States, <=50K
36,13, Divorced, Prof-specialty, Not-in-family, Black,0,40, United-States, >50K
22,10, Never-married, Sales, Own-child, White,0,15, United-States, <=50K
24,10, Never-married, Machine-op-inspct, Not-in-family, White,0,40, United-States, <=50K
77,10, Married-civ-spouse, Sales, Husband, White,0,40, United-States, <=50K
22,3, Married-civ-spouse, Machine-op-inspct, Other-relative, White,0,40, Mexico, <=50K
29,10, Never-married, Tech-support, Not-in-family, White,0,40, United-States, <=50K
62,9, Widowed, Other-service, Not-in-family, White,0,24, United-States, <=50K
39,9, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, <=50K
43,10, Married-civ-spouse, Craft-repair, Husband, White,1485,50, United-States, <=50K
35,9, Divorced, Transport-moving, Not-in-family, White,0,45, United-States, <=50K
29,7, Never-married, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
76,14, Married-civ-spouse, Craft-repair, Husband, White,0,10, United-States, <=50K
63,9, Married-civ-spouse, Farming-fishing, Husband, White,0,45, United-States, <=50K
23,11, Never-married, ?, Own-child, Black,0,15, United-States, <=50K
43,10, Married-civ-spouse, Prof-specialty, Wife, White,1887,50, United-States, >50K
58,9, Married-civ-spouse, Handlers-cleaners, Husband, White,0,40, United-States, <=50K
66,9, Never-married, Transport-moving, Not-in-family, White,0,55, United-States, <=50K
41,10, Never-married, Craft-repair, Not-in-family, Black,0,45, United-States, <=50K
26,13, Never-married, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
47,11, Never-married, Other-service, Not-in-family, White,0,40, United-States, <=50K
55,6, Married-civ-spouse, Adm-clerical, Husband, White,0,40, United-States, <=50K
53,9, Married-civ-spouse, Transport-moving, Husband, White,0,40, United-States, <=50K
17,3, Never-married, Other-service, Other-relative, White,0,48, Mexico, <=50K
30,9, Never-married, Craft-repair, Other-relative, White,0,40, United-States, <=50K
49,14, Never-married, Prof-specialty, Not-in-family, White,0,60, United-States, <=50K
19,9, Never-married, Sales, Unmarried, Black,0,30, Haiti, <=50K
45,9, Married-civ-spouse, Other-service, Husband, Black,0,40, United-States, <=50K
26,12, Never-married, Sales, Not-in-family, White,0,40, United-States, <=50K
38,11, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
36,9, Married-civ-spouse, Protective-serv, Husband, White,0,40, United-States, >50K
33,9, Never-married, Farming-fishing, Not-in-family, White,0,20, United-States, <=50K
22,10, Never-married, Protective-serv, Own-child, Black,0,40, United-States, <=50K
43,13, Never-married, Sales, Not-in-family, White,0,42, United-States, <=50K
67,7, Married-civ-spouse, ?, Husband, White,0,8, United-States, <=50K
30,11, Divorced, ?, Unmarried, White,0,40, United-States, <=50K
56,12, Married-spouse-absent, Other-service, Not-in-family, White,0,25, Iran, <=50K
31,13, Never-married, Prof-specialty, Own-child, White,0,25, United-States, <=50K
33,13, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
26,9, Married-civ-spouse, Other-service, Husband, White,0,40, United-States, <=50K
33,13, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
46,7, Married-civ-spouse, Transport-moving, Husband, White,0,30, United-States, <=50K
59,13, Married-civ-spouse, ?, Husband, White,0,40, United-States, >50K
38,9, Married-civ-spouse, Adm-clerical, Husband, White,0,40, United-States, >50K
65,7, Widowed, Other-service, Unmarried, Other,0,40, United-States, <=50K
40,11, Married-civ-spouse, Tech-support, Husband, White,0,40, United-States, >50K
