Unnamed: 0,X1,X3,X4,X6,X7,X9,X10,X11,X12,X13,X15,X17,X19,X20,X23
65,130000,2,1,-1,-1,-2,-1,-1,99,0,0,0,0,0,0
66,200000,1,1,-2,-2,-1,2,2,152519,148751,8174,7918,0,8222,1000
67,10000,2,1,2,2,0,0,0,2097,4193,4062,4326,0,150,160
68,210000,1,2,2,-1,-1,-1,-1,300,300,2280,4250,1159,2280,909
69,130000,3,2,1,-2,-1,2,-1,-190,-9850,10311,7319,0,20161,13899
70,20000,5,2,2,0,0,0,0,18565,17204,18085,5982,1200,1000,0
71,80000,1,2,-1,-1,-1,-1,-1,780,0,390,390,390,390,390
72,320000,2,2,2,2,2,2,2,58267,59246,58622,63526,2500,0,1600
73,200000,2,1,-1,-1,-1,2,-1,9076,5787,5247,3151,15,9102,1395
74,290000,1,2,1,-2,-1,-1,-1,0,0,0,0,3155,0,0
75,340000,1,2,-1,-1,-1,-1,-1,3048,5550,4291,25820,23453,4314,2016
76,20000,2,2,0,0,0,0,0,14619,17216,16976,18543,0,610,0
77,50000,3,2,-1,0,0,0,0,42838,37225,9636,10030,1779,320,1000
78,300000,1,1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291
79,30000,2,2,0,0,0,0,0,28387,29612,28004,6411,1400,560,0
80,240000,2,2,1,-2,-2,-2,-2,0,0,0,0,0,0,0
81,470000,3,3,0,0,0,0,0,165254,157784,69923,29889,7566,3000,3000
82,360000,1,2,0,0,0,0,-1,23411,27796,33100,196,3400,3100,2963
83,60000,3,2,0,0,0,0,0,26324,27471,21993,19771,1213,648,0
84,400000,2,1,0,0,0,0,0,131595,139060,104430,94058,3,3050,2800
85,50000,3,2,0,0,0,0,0,48909,47863,20414,19482,1302,700,826
86,160000,2,2,0,0,0,0,0,130028,107808,118418,120418,3547,80000,4500
87,360000,1,1,-1,-1,0,-1,-1,390,1170,390,390,0,0,390
88,160000,2,2,0,0,0,0,-1,3826,4751,8604,766,2000,2000,2303
89,130000,1,1,0,0,-1,-1,-1,81313,117866,1330,1190,5000,1330,2090
90,20000,3,2,2,2,0,0,2,8583,8303,10488,11970,1651,1000,1500
91,200000,1,1,2,2,2,2,2,138180,140774,144098,149531,5500,5500,5000
92,280000,1,2,-1,-1,0,0,-2,7524,0,3868,0,3968,0,0
93,100000,1,2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,0
94,160000,2,1,-1,-1,-1,-1,-2,880,1602,840,0,840,840,7736
95,60000,2,2,0,0,0,0,0,45648,46850,19595,19323,1301,682,835
96,90000,2,2,0,0,0,0,0,83725,85996,35565,30835,3597,1179,1143
97,360000,1,1,-1,-1,-1,-1,0,3967,8322,6451,9956,3394,12902,68978
98,150000,1,2,0,0,0,0,0,86009,86108,89775,40788,10006,3266,800
99,50000,3,1,0,0,0,0,0,18722,18160,13150,7899,1194,379,197
100,20000,2,1,0,0,0,0,-1,17973,19367,18240,150,1460,626,0
101,140000,1,2,-2,-2,-2,-2,-2,672,10212,415,1430,850,415,0
102,380000,1,2,-2,-2,0,0,0,-81,-303,32891,34056,33178,1171,5000
103,480000,1,1,0,0,2,2,0,422069,431342,487066,469961,55693,17000,24200
104,50000,3,2,0,0,0,0,0,44698,42254,32496,24094,1362,1002,904
105,60000,2,2,2,2,2,2,0,56685,55208,60218,55305,5000,2511,3000
106,70000,2,2,-1,-1,-2,-2,-1,5580,0,0,26529,0,0,2000
107,80000,2,1,-1,-1,-1,-1,-1,6108,2861,3319,1150,3279,3319,1035
108,350000,1,2,-1,-1,-1,-1,-1,713,2272,867,5263,722,867,5011
109,130000,2,2,0,0,-1,-1,-1,171438,178382,120483,126568,0,133657,4796
110,360000,2,1,1,-2,-2,-2,-2,-103,-103,-103,-103,0,0,0
111,330000,1,1,0,0,0,0,0,105879,108431,105896,107289,0,3593,0
112,50000,3,1,0,0,0,0,0,13244,14722,15928,17393,1000,1000,1000
113,280000,2,1,2,2,2,2,3,135673,138532,144401,149415,0,14254,5000
114,100000,1,2,0,0,0,0,0,52128,52692,56076,59713,2677,3076,2033
115,50000,2,2,0,0,0,0,0,19015,19294,20274,19957,1305,700,684
116,30000,1,2,-1,2,0,3,2,18199,17618,21319,21201,1312,3000,1000
117,240000,1,2,-1,-1,-1,-1,-1,326,326,5676,326,326,5676,526
118,80000,2,2,2,0,0,0,0,14029,15493,17055,18186,1700,1000,1000
119,400000,2,1,-1,-1,-1,-1,-1,19660,9666,7839,7959,11867,7839,5712
120,240000,2,2,0,0,0,-1,-1,50254,51445,52479,1203,3000,3000,563
121,50000,3,2,2,2,3,2,2,46004,45976,48851,51143,4035,1000,0
122,450000,1,1,1,-2,-2,-2,-2,0,0,0,0,0,0,0
123,110000,1,1,1,-2,-2,-2,-2,0,0,0,0,0,0,0
124,310000,2,1,2,0,0,0,0,304991,311243,258610,198889,11128,8407,5987
125,20000,1,2,0,0,0,0,0,19115,18962,19378,15630,1130,600,0
126,20000,2,2,1,-2,-2,-2,-2,0,0,0,0,0,0,0
127,200000,3,2,0,0,0,0,0,110151,99530,100914,104993,3585,3602,3784
128,180000,1,1,0,0,0,0,0,163736,116422,95766,95927,2690,2067,1000
129,50000,2,1,0,0,0,0,0,3347,3899,5347,7077,1066,1300,134
130,60000,3,1,3,2,0,0,0,60521,61450,28853,26547,7,1200,1500
131,30000,1,2,1,-2,-2,-1,-1,4000,5645,-27,5906,3508,27,3024
132,240000,1,2,1,-1,0,0,-1,95,2622,3164,1737,3301,0,924
133,420000,2,1,0,0,0,0,0,253454,247743,220951,188108,9553,7603,11326
134,330000,3,1,0,0,0,0,0,227389,228719,227587,228203,8095,8025,8200
135,30000,2,2,0,0,0,0,0,28452,26145,25350,-780,1400,0,1560
136,240000,2,1,0,0,2,2,2,10674,12035,13269,13891,1800,0,327
137,150000,1,2,0,0,0,0,0,17444,19342,24614,30229,3000,3000,5000
138,210000,2,1,0,0,0,0,0,7166,7997,9189,5708,1500,1000,546
139,50000,3,1,-1,-1,-1,-2,-2,752,300,0,0,5880,0,0
140,50000,1,2,0,0,0,0,0,50801,50143,19430,18995,1700,1000,2130
141,240000,1,2,1,-2,-2,-2,-2,0,0,0,0,0,0,0
142,180000,2,2,-1,-1,-1,-1,-1,1832,0,332,416,416,332,832
143,50000,2,2,1,2,2,0,0,10131,10833,19996,18065,10000,400,600
144,170000,2,2,-2,-2,-2,-2,-2,12159,10000,10000,15846,10000,10000,10000
145,20000,1,2,-1,-1,-1,0,-1,1199,15586,2340,339,344,2340,330
146,50000,1,2,0,0,0,0,3,4999,5913,9195,10138,1500,2000,0
147,170000,2,2,0,0,0,0,0,19269,20313,17560,9100,1200,351,0
148,200000,1,2,1,2,0,0,0,197236,176192,135668,59875,5000,55500,8500
149,80000,2,1,1,2,2,0,0,9168,10522,9898,12034,0,0,1
150,260000,1,1,1,-2,-1,-1,-1,-1100,-1100,0,869,22500,0,0
151,140000,2,1,0,0,0,2,0,86627,78142,64648,55251,3110,5000,2602
152,80000,1,2,0,0,0,0,0,42444,55744,41087,31826,3000,6000,14000
153,350000,1,2,1,-1,-1,-1,-2,208,2906,630,0,1000,630,0
154,280000,2,1,0,0,0,0,0,208775,182350,101783,169311,6700,5137,6321
155,30000,3,2,0,0,0,0,0,9014,10406,11935,14206,1500,1000,1500
156,140000,1,1,0,0,0,0,0,23944,28049,43129,48699,5000,11885,5504
157,200000,1,2,0,0,0,0,0,105420,102870,90938,94031,3250,3250,5000
158,200000,3,2,0,0,0,0,0,196031,196143,167163,122324,7108,7680,4500
159,210000,3,1,2,3,4,5,6,115785,122904,137277,154105,10478,11078,10478
160,50000,3,1,3,2,0,0,0,12854,12362,13427,14083,1600,500,600
161,30000,1,2,2,2,2,2,0,24357,27453,28168,28321,0,2200,1250
162,50000,2,2,2,-1,-1,-1,2,390,390,216,540,780,216,390
163,290000,3,1,-1,-1,-1,0,-1,1234,396,792,423,396,792,369
164,250000,1,1,0,0,0,0,0,141223,156858,152803,160220,0,5469,3920
165,60000,2,1,0,0,0,0,0,21148,23803,26034,27756,1500,1500,1500
166,110000,1,2,0,0,0,0,0,101640,104795,74737,77254,3900,3000,2800
167,370000,1,2,-2,-2,-2,-2,-2,6093,15130,15398,13453,8204,15413,4699
168,100000,2,1,-1,2,0,0,0,102349,96847,29336,-246,0,1330,50000
169,90000,2,1,0,0,0,0,2,72112,73854,77317,88290,3500,3652,0
170,50000,2,2,0,0,0,0,0,28040,29092,27737,28806,1442,982,567
171,270000,2,2,0,0,0,0,0,37695,33397,27598,24641,2000,3000,2000
172,300000,1,2,-1,-1,-1,-1,-1,688,3280,4340,800,0,4340,746
173,50000,2,2,-1,0,0,0,0,8567,15273,7457,7725,1000,149,10000
174,50000,1,2,1,-2,-2,-2,-2,-709,-709,-2898,-3272,0,0,0
175,360000,1,2,1,-2,-1,-2,-2,0,0,0,0,77,0,0
176,130000,3,1,1,2,2,2,3,64617,65978,68557,71345,3000,3000,0
177,80000,1,2,-2,-1,0,0,0,6187,100,1438,5380,500,1000,0
178,50000,2,2,1,2,0,0,2,48860,47801,30221,22361,1500,1000,2000
179,20000,2,2,0,0,0,0,0,16001,12622,13130,14906,1201,500,1000
180,80000,2,1,0,0,0,0,0,77883,81811,61467,11486,1000,600,0
181,240000,1,2,-1,-1,0,0,-1,12212,26578,26605,1256,0,2000,65935
182,80000,3,2,0,-1,0,0,0,49608,12412,17364,17460,6500,3000,2000
183,500000,1,1,0,0,0,0,0,56422,110616,122967,70064,30357,30000,20000
184,60000,2,1,0,0,0,0,0,58024,57891,18971,19395,1600,3000,2000
185,20000,2,2,0,0,0,0,-1,10642,11677,12280,1620,1593,601,0
186,100000,2,1,1,2,0,2,0,14483,13961,16268,16448,1600,1500,1500
187,360000,1,2,1,-1,-1,-1,-1,2616,57077,68445,16240,5295,68454,38313
188,200000,3,2,2,2,2,2,2,199436,202947,196186,189915,7000,6800,6836
189,130000,2,1,1,-1,0,0,0,0,5396,13576,14636,5000,3500,2000
190,20000,2,2,1,5,4,3,2,21703,21087,20835,20487,1000,0,0
191,310000,1,2,0,0,0,0,0,59901,62147,65875,43328,6031,10057,4223
192,60000,1,2,2,0,0,2,0,19625,20347,23005,22873,1664,2000,846
193,180000,1,2,-1,-1,-2,-1,0,11386,199,0,17042,0,0,5114
194,180000,1,2,-1,-1,0,0,-2,14670,22087,10200,0,0,200,0
195,50000,2,1,0,0,0,-1,-1,47790,18114,-14,658,1000,2000,20011
196,50000,1,2,1,2,2,2,2,36166,37188,38462,40035,1400,1700,0
197,150000,2,1,-2,-2,-2,-2,-2,0,0,116,1500,0,116,0
198,20000,1,2,0,0,0,-1,0,18553,19446,8332,19247,1032,541,1000
199,500000,1,1,-2,-2,-1,-1,-1,412,138,1251,1151,2299,1251,15816
200,30000,3,2,1,2,0,0,0,29010,29256,29836,0,85,1714,0
201,180000,1,1,-2,-2,-2,-2,-2,750,0,0,0,0,0,0
202,140000,1,2,0,0,0,0,2,27123,27299,20225,10833,0,3000,2500
203,140000,1,2,-1,0,-1,-1,-1,13424,18000,5818,487,13001,5841,7004
204,120000,2,2,0,0,0,0,0,107314,110578,116000,122135,5000,4152,5000
205,360000,2,1,0,0,0,0,0,226430,231878,190211,146511,7300,5800,4100
206,20000,3,1,-1,-1,0,0,0,227,20351,19339,19337,1305,1258,1700
207,100000,1,1,-1,-1,-1,-1,-1,390,1473,390,0,390,390,2380
208,210000,2,1,-1,-1,-1,-1,-1,3088,1586,3763,0,343,3763,419
209,80000,2,2,0,0,0,0,0,81625,81554,49552,49568,3000,2038,1800
210,330000,1,1,-1,-1,-1,-2,-2,8872,4337,1690,1709,2854,1702,258
211,220000,1,2,0,0,-1,-1,-1,105607,108917,8303,85632,5050,8303,0
212,210000,1,1,1,-2,0,-1,-1,0,0,123,1222,250,0,9616
213,40000,3,1,0,0,0,0,0,38257,38901,36207,31339,1504,1200,1000
214,30000,2,2,0,0,2,0,0,28347,28108,12992,8032,2309,0,148
215,470000,2,2,2,2,2,0,0,296573,303320,479978,309959,11001,0,10367
216,30000,3,1,-1,-1,-1,-1,2,390,390,240,780,390,240,0
217,240000,2,1,1,-2,-2,-2,-2,-946,-946,-946,-946,0,0,0
218,80000,2,2,2,0,0,0,0,79278,78501,80016,78245,3500,3400,3000
219,110000,3,0,0,0,0,0,0,89989,84229,73315,63208,5000,3000,8954
220,310000,1,2,-1,-1,-1,-2,-2,1424,4542,0,0,126,0,0
221,360000,1,1,2,2,0,0,0,105167,115468,114690,120238,0,5900,4700
222,330000,3,2,0,0,0,0,0,335196,334954,333860,330121,12378,12116,11678
223,300000,2,2,0,0,0,0,0,291619,297268,215827,212508,9006,17000,15000
224,320000,2,2,0,0,0,0,0,91653,94037,65913,33263,18832,2117,3754
225,50000,3,2,1,3,0,0,0,52626,51537,30394,29957,24,1500,30592
226,170000,1,2,0,0,0,0,0,130370,131199,125514,128839,4860,22500,4962
227,350000,3,1,-1,-1,-1,-1,-2,3265,2686,569,0,1864,569,0
228,20000,2,1,0,0,0,0,0,16455,16511,18768,19175,3000,663,782
229,50000,2,2,2,0,0,0,0,49758,48456,21247,18858,2254,2004,1004
230,20000,3,2,1,2,0,0,0,19154,18165,7630,0,1333,500,3200
231,50000,1,2,0,0,0,0,0,35084,35796,19420,1308,2002,1002,389
232,20000,2,2,1,2,0,2,0,20235,17132,16875,10104,1200,1000,10000
233,50000,2,1,0,0,-1,-1,0,102800,0,2624,46557,0,2624,2000
234,190000,2,2,2,0,0,2,2,129801,131383,142323,150052,5000,10000,2769
235,60000,2,1,0,0,0,0,0,58203,36367,20694,19421,1298,1000,599
236,80000,1,2,-1,-1,-1,-1,-1,7988,3977,1719,19942,6853,1719,2418
237,150000,2,2,0,0,0,0,0,127402,110050,44384,29497,1745,1566,2529
238,210000,1,2,-2,-2,-2,-1,-1,1440,0,893,2293,7422,893,3299
239,240000,3,1,0,0,0,0,0,234205,231669,207642,214694,9150,8008,7714
240,140000,2,3,0,0,0,0,0,19346,21708,19068,16383,2000,2198,2399
241,60000,1,2,1,2,-2,-2,-1,21501,20650,0,2285,0,0,0
242,50000,1,2,0,0,0,0,0,47174,47974,50803,15874,2000,3000,2000
243,50000,2,2,0,0,0,0,0,26655,27724,27990,29399,1750,900,1100
244,180000,1,2,-1,-1,2,-1,-1,3139,5853,0,0,0,0,176
245,30000,1,2,-1,-1,2,2,2,142,215,19,79,120,0,60
246,20000,2,2,0,0,0,0,-2,19816,20396,19575,0,2203,2114,0
247,250000,2,1,0,-1,-1,-1,-1,52874,1631,1010,794,1536,1010,1184
248,100000,2,2,0,0,0,0,0,37767,34457,30337,32904,1799,1100,0
249,330000,1,2,0,0,0,2,0,46140,45781,51137,25358,4007,5056,2566
250,50000,3,1,0,0,0,0,0,35713,15392,16418,17484,1268,587,2000
251,50000,2,2,1,2,0,0,0,50867,51486,30115,29998,136,1206,3003
252,30000,2,2,0,0,0,0,0,29242,29507,25255,0,1244,851,0
253,140000,2,2,0,0,0,0,0,101551,105246,105334,106828,5087,3605,3304
254,160000,1,2,0,0,0,-1,0,70243,47779,7222,84426,2000,1000,10000
255,400000,2,2,-1,0,-1,-1,-1,19532,3719,4944,2486,1469,4968,862
256,50000,2,1,0,0,0,0,0,27699,28513,29928,28538,1393,980,886
257,140000,2,1,0,-1,-1,-1,-1,1154,1233,1355,21361,1075,1355,1347
258,160000,2,1,-1,-1,-1,0,-1,8015,2453,52572,2210,9880,52572,0
259,100000,3,1,0,0,-2,-2,-2,62170,0,0,0,0,0,0
260,220000,1,1,2,0,0,0,0,210380,213522,169115,162402,9020,6000,5500
261,510000,1,2,0,0,0,0,0,78331,99414,103776,36739,20094,5000,65000
262,50000,2,2,0,0,0,0,0,49276,35100,27823,28309,1400,3000,6318
263,160000,1,1,-1,-1,-1,2,-1,4473,4664,18941,12652,5969,18941,1916
264,230000,1,2,-2,-2,-2,-2,-2,2283,50815,0,338,0,0,0
265,80000,1,2,-1,-1,-1,-1,-1,10115,249,188,16872,5995,188,4000
266,150000,2,1,-1,-1,-1,-1,-1,6156,0,316,316,0,316,316
267,10000,3,2,0,0,0,0,2,6974,7838,9182,9411,1298,478,175
268,130000,3,2,0,0,0,0,0,89003,91362,49654,27500,3095,1630,0
269,40000,1,2,0,0,0,0,0,34871,34449,34586,35673,1600,1500,1500
270,50000,2,2,3,2,0,0,-1,13694,14880,13968,2614,0,426,1390
271,100000,3,2,0,0,0,0,0,70003,31545,19713,18126,2004,616,2015
272,120000,1,1,-1,2,0,0,0,1082,632,900,0,1350,0,450
273,260000,1,2,1,-2,-2,-2,-2,0,0,0,0,0,0,0
274,200000,2,2,0,0,0,0,0,11253,12852,14512,11905,1322,2000,3000
275,360000,2,2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
276,70000,2,2,0,0,0,0,0,68699,69120,30163,15085,12496,3268,2000
277,460000,1,1,2,-1,-1,-1,-1,171,2715,2641,22535,0,2654,0
278,50000,1,2,-1,-1,-1,-1,-1,1156,316,316,316,316,316,316
279,50000,3,1,0,0,0,0,0,50859,50462,20046,19703,2199,691,697
280,250000,2,1,0,0,0,0,0,103109,102594,99029,101299,4500,5000,4400
281,30000,1,2,0,0,0,0,-2,1512,2458,1814,0,664,1500,0
282,270000,2,1,0,0,0,-1,-1,127543,109189,69669,43414,5162,10150,31031
283,180000,3,2,0,0,0,0,0,163935,153152,122196,70204,6091,3563,3211
284,100000,1,2,0,0,0,0,0,53494,52656,52336,56265,3000,2025,3000
285,230000,3,1,0,0,0,0,0,195126,88743,94814,98457,5000,5000,5000
286,210000,1,1,-1,-1,-1,-1,-1,110346,41986,20076,586,21874,20076,19777
287,210000,1,2,2,0,0,0,0,60502,62804,62683,46549,2026,2000,2502
288,440000,2,1,0,0,0,0,0,180641,181557,113135,97622,6907,3727,2701
289,100000,2,2,2,0,0,0,0,70896,71678,69856,51365,2092,2000,1559
290,240000,2,1,0,0,0,0,0,8751,9900,10765,4311,1000,1000,1000
291,280000,1,2,-1,-1,-1,-1,-1,898,898,898,-339603,325,898,345293
292,50000,2,2,1,-2,-2,-2,-2,0,0,0,0,0,0,0
293,30000,2,1,3,2,2,2,2,1700,2610,2182,2566,0,300,0
294,10000,2,2,0,0,0,0,0,7015,10227,9901,10182,0,500,700
295,130000,1,2,1,-2,-2,-2,-2,0,0,0,0,0,0,1500
296,200000,1,2,0,0,0,0,0,194353,197344,133345,133990,7465,4715,5300
297,120000,2,1,-1,-1,-1,-1,-1,1686,657,1423,1820,2319,1423,2496
298,210000,2,1,0,0,0,0,0,143225,142996,148190,131629,5082,6000,4700
299,280000,1,1,0,0,0,0,0,58983,60788,29701,30771,3463,1300,2000
300,300000,1,2,1,-2,0,-1,-1,0,0,12601,203,13001,0,0
301,100000,2,2,0,0,0,0,0,99209,98222,66926,64513,2332,2314,2305
302,440000,1,2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
303,50000,3,1,0,0,0,0,0,49941,51213,12898,14458,1206,1000,1000
304,20000,1,2,0,0,0,0,0,11968,14564,15824,12510,0,4000,2000
305,200000,1,2,-1,-1,0,0,0,871,665,4242,7414,960,3908,2880
306,110000,2,2,-2,-2,-2,-2,-2,432,3220,1256,400,5904,0,0
307,500000,2,1,-1,-1,-1,-1,-1,10483,23956,8500,0,0,8500,0
308,300000,2,1,1,-1,-2,-2,-2,0,5215,0,0,0,0,0
309,30000,3,1,2,2,3,3,4,9720,10613,12841,14514,1200,2000,1500
310,60000,1,2,-1,-1,-1,-1,-1,20847,13801,4889,11736,14583,4889,0
311,400000,2,1,-1,0,-1,0,-1,3697,3600,5322,2077,1354,5322,9085
312,180000,2,1,0,0,0,0,0,143301,146333,127814,132845,5000,5000,5100
313,20000,1,2,0,0,2,0,0,10934,13738,10411,14340,3100,0,0
314,200000,3,1,-1,2,2,0,0,52439,51040,54723,59983,6000,0,3000
315,100000,1,2,0,0,0,0,0,55734,52557,28776,6441,1286,200,200
316,60000,2,2,0,0,0,0,0,49507,33282,17277,19346,2000,618,616
317,110000,2,2,0,0,0,0,0,47819,48947,50894,53652,2500,2000,2200
318,260000,3,1,1,-1,-2,-2,-1,0,165,452,485,526,452,459
319,50000,3,1,3,2,0,0,0,48522,50955,29742,24883,1,1070,654
320,180000,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0
321,110000,2,2,1,2,0,0,0,58362,56598,48647,47969,0,2000,2000
322,340000,1,2,0,0,0,0,0,172180,180140,155628,103263,5461,5000,50000
323,50000,2,2,-1,0,0,0,0,1399,2441,7476,8085,1500,3666,1000
324,230000,2,1,0,0,-2,-1,-1,26361,18826,2100,6173,1100,1000,1000
325,360000,2,2,0,0,0,0,0,93029,94054,95631,100738,7000,10000,10000
326,210000,2,2,1,-2,0,0,0,0,0,40555,37056,38013,3000,3000
327,220000,2,1,-1,2,-1,2,-1,650,650,950,325,0,950,325
328,60000,2,1,2,2,2,2,0,24898,27976,30184,30225,0,3720,1291
329,340000,2,1,-2,-1,-2,-2,-2,50396,44665,2190,7416,8321,2190,77195
330,150000,1,1,2,2,2,2,2,99855,102586,104975,109428,0,8100,4200
331,200000,2,1,1,-1,-1,-1,-1,-179,505,6773,16893,0,6900,2500
332,130000,2,2,0,0,0,0,0,9559,12394,9826,12685,0,500,500
333,60000,1,2,1,2,0,0,0,10540,10232,11427,31857,1483,673,7000
334,400000,2,1,1,-2,-2,-1,-1,0,0,0,78388,0,0,0
335,20000,1,2,0,0,0,0,0,20571,19089,19453,18868,1600,830,376
336,190000,1,2,0,0,0,0,0,143464,146943,153538,160361,7408,5645,5865
337,260000,1,2,0,0,0,0,0,156882,160246,158114,159108,8000,6000,6000
338,140000,2,2,-2,-2,-2,-2,-2,390,0,0,0,0,0,0
339,50000,2,1,0,0,0,0,0,46512,47716,30929,29170,4406,1061,1047
340,120000,1,2,-1,-1,-1,-1,-1,882,6531,1100,830,5037,1100,2037
341,240000,2,2,-2,-2,-2,-2,-2,92,92,0,0,92,0,1883
342,50000,2,2,0,0,0,-1,0,5916,6172,680,978,1200,0,0
343,200000,1,2,-1,2,-1,-1,2,2393,183,20183,24248,4872,20183,1000
344,180000,1,1,0,0,0,0,-1,274731,281713,122295,1005,145000,26000,1898
345,180000,1,2,0,0,0,0,0,145403,138232,105894,106517,5051,3835,4028
